src	dst	hops	quality	chain
betting	bet	3	0.983	en:betting ~ fr:bettes ≈ en:bet ~ fr:bet
binding	met aide	6	0.926	en:binding ≈ fr:ban digne ~ fr:brin digne ≈ en:branding ~ en:branded ≈ fr:prennent aide ~ fr:met aide
binding	fait aide	6	0.925	en:binding ≈ fr:ban digne ~ fr:brin digne ≈ en:branding ~ en:branded ≈ fr:prennent aide ~ fr:fait aide
binding	laissent aide	6	0.924	en:binding ≈ fr:ban digne ~ fr:brin digne ≈ en:branding ~ en:branded ≈ fr:prennent aide ~ fr:laissent aide
blair	blaise	2	0.966	en:blair ≈ fr:blair ~ fr:blaise
bleat	baule	2	0.950	en:bleat ≈ fr:blettes ~ fr:baule
bled	plaire	6	0.951	en:bled ≈ fr:bled ~ en:bleeding ≈ fr:plient in ~ fr:plies in ≈ en:pleasing = fr:plaire
bled	plaisant	6	0.951	en:bled ≈ fr:bled ~ en:bleeding ≈ fr:plient in ~ fr:plies in ≈ en:pleasing = fr:plaisant
bled	gracieusement	6	0.944	en:bled ≈ fr:bled ~ en:bleeding ≈ fr:plient in ~ fr:plies in ≈ en:pleasing ~ fr:gracieusement
bless	blesser	2	0.992	en:bless ≈ fr:blesse ~ fr:blesser
bless	blessant	2	0.976	en:bless ≈ fr:blesse ~ fr:blessant
bloc	blocus	2	0.968	en:bloc ≈ fr:bloc ~ fr:blocus
bloop	tarbes	3	0.916	en:bloop ~ en:blip ≈ fr:plèbe ~ fr:tarbes
bloop	plèbe	2	0.912	en:bloop ~ en:blip ≈ fr:plèbe
blot	out	3	0.937	en:blot ~ fr:hâtent ≈ en:out ~ fr:out
blot	sortir	3	0.920	en:blot ~ fr:hâtent ≈ en:out = fr:sortir
blot	sortie	3	0.920	en:blot ~ fr:hâtent ≈ en:out = fr:sortie
blued	chemise	6	0.965	en:blued ≈ fr:blues ~ en:blues ≈ fr:blouse ~ fr:chemises ≈ en:chemise ~ fr:chemise
blued	chemises	4	0.948	en:blued ≈ fr:blues ~ en:blues ≈ fr:blouse ~ fr:chemises
blued	blouse	3	0.980	en:blued ≈ fr:blues ~ en:blues ≈ fr:blouse
