ipa	members
fyme	fumer fumé fumée fumées
sinjale	signaler signalé signalée signalés
tɹadisjɔnɛl	traditionnel traditionnelle traditionnelles traditionnels
kan	can canne cannes kane
kɹiminɛl	criminel criminelle criminelles criminels
ɛ̃tɛlɛktyɛl	intellectuel intellectuelle intellectuelles intellectuels
libeɹe	libérer libéré libérée libérés
elimine	éliminer éliminé éliminée éliminés
apyije	appuyer appuyé appuyée appuyés
dedje	dédié dédiée dédiées dédiés
ɑ̃tuɹe	entourer entouré entourée entourés
ɛ̃fɔɹme	informer informé informée informés
bloke	bloquer bloqué bloquée bloqués
kɔ̃kly	conclu conclue conclus conclut
ana	ana anna hanna hannah
kɔ̃sɑ̃tɹe	concentrer concentré concentrée concentrés
fatiɡe	fatiguer fatigué fatiguée fatigués
ɹevɛje	réveiller réveillez réveillé réveillée
bɹyt	brut brute brutes bruts
pat	patte pattes pâte pâtes
spesjalize	spécialisé spécialisée spécialisées spécialisés
kɔmɑ̃de	commander commandé commandée commandés
ɛ̃dividyɛl	individuel individuelle individuelles individuels
dezinje	désigner désigné désignée désignés
pɹatike	pratiquer pratiqué pratiquée pratiqués
plœɹ	pleure pleurent pleures pleurs
pɔste	poster posté postée postés
eko	eco écho échos éco
dispoze	disposer disposé disposées disposés
bɹize	briser brisé brisée brisés
ɹəʃɛɹʃe	rechercher recherché recherchée recherchés
bɹyle	brûler brûlé brûlée brûlés
ʃɛk	check cheikh chèque chèques
adɹɛse	adresser adressé adressée adressées
ɹapɔɹte	rapporter rapporté rapportée rapportés
tyɹk	turc turcs turque turques
komik	comic comics comique comiques
meɹite	mériter méritez mérité méritée
asasine	assassiner assassiné assassinée assassinés
ɛkskly	exclu exclue exclus exclut
paɹsjɛl	partiel partielle partielles partiels
ɹa	ra ras rat rats
sɛɹe	serrer serré serrée serrés
akɔ̃pli	accompli accomplie accomplis accomplit
pɹɛse	presser pressé pressée pressés
abitye	habituer habitué habituée habitués
divize	diviser divisé divisée divisés
