word	variant	zipf
pleaded	plead	3.63
pleaded	pled	2.73
pleaded	pleading	3.53
pleasing	pleased	4.44
pleasing	pleases	3.29
pleasing	please	5.66
plot eek	plotting eek	3.57
plot eek	plots eek	3.77
plot eek	plotted eek	3.31
policeman	policemen	3.54
policies	policy	5.17
pornography	pornographies	0.00
port earl	porting earl	2.65
port earl	port earls	2.87
port earl	ports earl	4.07
port earl	ported earl	3.04
portal	portals	3.30
porters	porter	3.98
possess	possessed	3.85
possess	possessing	3.61
possess	possesses	3.61
possessed	possessing	3.61
possessed	possess	4.02
possessed	possesses	3.61
practice	practicing	3.99
practice	practiced	3.82
practice	practices	4.55
practiced	practice	5.06
practiced	practices	4.55
practiced	practicing	3.99
preacher	preachers	3.25
preaching	preach	3.69
preaching	preached	3.37
preaching	preaches	2.89
preceded	preceding	3.74
preceded	precedes	3.02
preceded	precede	2.86
preceding	preceded	3.68
preceding	precedes	3.02
preceding	precede	2.86
predators	predator	3.71
preferences	preference	4.11
prefers	prefer	4.57
prefers	preferred	4.35
prefers	preferring	3.33
prejudice	prejudiced	3.05
prejudice	prejudices	3.22
prejudice	prejudicing	1.74
preserve	preserves	3.36
preserve	preserved	4.07
preserve	preserving	3.73
preserved	preserves	3.36
preserved	preserve	4.19
preserved	preserving	3.73
preset	presetting	1.08
preset	presets	2.65
presidency	presidencies	2.45
pressmen	pressman	2.36
princes	prince	4.72
printed	printing	4.28
printed	prints	4.08
printed	print	4.54
printer	printers	3.62
printing	printed	4.40
printing	prints	4.08
printing	print	4.54
priorities	priority	4.41
prison	prisons	3.83
prisoners	prisoner	4.20
procedures	procedure	4.44
proceeded	proceed	4.18
proceeded	proceeds	4.05
proceeded	proceeding	3.66
proceeding	proceed	4.18
proceeding	proceeds	4.05
proceeding	proceedings	4.18
proceeding	proceeded	3.87
product	products	5.04
product	producted	0.00
product	producting	0.00
professors	professor	4.90
projected	projects	4.81
projected	project	5.22
projected	projecting	3.58
promises	promised	4.49
promises	promising	4.11
promises	promise	4.71
properties	property	5.11
protected	protects	3.75
protected	protect	4.92
protected	protecting	4.30
protecting	protected	4.51
protecting	protects	3.75
protecting	protect	4.92
protection	protections	3.64
protector	protectors	3.15
protesters	protester	3.11
provision	provisions	4.12
provision	provisioned	2.34
provision	provisioning	2.71
proximity	proximities	1.30
purchased	purchases	4.11
purchased	purchase	4.71
purchased	purchasing	4.06
pursuit	pursuits	3.35
quantum	quanta	2.38
question	questioning	4.04
question	questioned	4.02
question	questions	5.15
quitting	quitted	2.06
quitting	quits	3.39
quitting	quit	4.54
reaches	reaching	4.46
reaches	reach	4.94
reaches	reached	4.85
reaching	reaches	4.16
reaching	reach	4.94
reaching	reached	4.85
readers	reader	4.34
ready	readying	2.55
ready	readier	1.60
ready	readied	2.59
ready	readiest	1.06
ready	readies	2.42
rebuilding	rebuilt	3.62
rebuilding	rebuilds	2.49
rebuilding	rebuild	3.90
recall	recalled	3.98
recall	recalls	3.67
recall	recalling	3.38
receipt arse	receipts arse	3.69
receipt arse	receipted arse	1.45
receipt arse	receipting arse	0.00
receipt arse	receipt arses	2.47
receive	receives	4.19
receive	received	5.16
receive	receiving	4.59
receptor	receptors	3.65
redressed	redress	3.15
redressed	redressing	2.00
redressed	redresses	1.20
redrew	redraw	2.62
redrew	redrawn	2.62
redrew	redrawing	2.31
redrew	redraws	1.68
references	referenced	3.67
references	reference	4.74
references	referencing	3.36
refreshing	refreshed	3.25
refreshing	refresh	3.65
refreshing	refreshes	2.56
region	regions	4.53
register	registered	4.52
register	registers	3.51
register	registering	3.46
reinforce	reinforced	3.83
reinforce	reinforcing	3.35
reinforce	reinforces	3.24
reinforced	reinforce	3.68
reinforced	reinforcing	3.35
reinforced	reinforces	3.24
rejected	rejects	3.67
rejected	rejecting	3.59
rejected	reject	4.03
relative	relatives	4.20
releases	released	5.05
releases	releasing	4.14
releases	release	5.09
remedies	remedying	2.02
remedies	remedy	3.82
remedies	remedied	2.75
render	rendered	3.88
render	renders	3.30
render	rendering	3.79
rendered	render	3.78
rendered	renders	3.30
rendered	rendering	3.79
rental	rentals	3.42
rented	renting	3.62
rented	rents	3.58
rented	rent	4.58
renter	renters	3.16
repeated	repeats	3.55
repeated	repeat	4.49
repeated	repeating	3.84
reporters	reporter	4.35
requested	requests	4.28
requested	request	4.76
requested	requesting	3.80
resell	reselling	2.56
resell	resold	2.76
resell	resells	1.83
resist	resisting	3.58
resist	resisted	3.61
resist	resists	3.12
resource	resources	4.91
resource	resourced	2.43
resource	resourcing	2.30
responded	respond	4.53
responded	responds	3.80
responded	responding	4.07
restart	restarting	2.92
restart	restarts	2.69
restart	restarted	3.10
rested	rest	5.23
rested	rests	3.64
rested	resting	3.89
restored	restore	4.18
restored	restoring	3.72
restored	restores	3.05
