word	variant	zipf
blair	blairé	0.00
blair	blairaient	0.00
blaire	blairer	2.77
blaire	blairé	0.00
blaire	blairait	0.00
blairer	blaire	1.93
blairer	blairé	0.00
blairer	blairait	0.00
blairer	blairaient	0.00
blairs	blair	3.60
blanc	blancs	4.61
blanc	blanca	2.94
blanc	blance	2.05
blance	blanca	2.94
blanche	blanches	4.23
blanches	blanche	4.83
blancs	blanc	5.14
blass	blas	2.89
blatt	blatter	2.71
blatt	blattes	2.26
blatt	blatte	2.07
blatte	blatter	2.71
blatte	blattes	2.26
blattes	blatte	2.07
bled	bleds	2.49
blessant	blessantes	2.46
blessant	blessante	2.46
blessant	blessants	2.32
blesse	blessé	4.59
blesse	blesser	3.92
blesse	blessant	3.38
blesse	blessent	3.02
blesse	blesses	2.59
blesse	blessa	2.34
blesse	blessez	2.33
blesse	blessait	2.26
blesser	blessé	4.59
blesser	blessés	4.39
blesser	blessée	3.83
blesser	blesse	3.79
blesser	blessant	3.38
blesser	blessées	3.30
blesser	blessent	3.02
blesser	blesses	2.59
blesser	blessa	2.34
blesser	blessez	2.33
blesser	blessait	2.26
blesser	blessera	2.20
blesses	blesse	3.79
blessé	blessés	4.39
blessé	blessée	3.83
blessé	blessées	3.30
blette	blettes	2.14
blettes	blette	1.94
bleu	bleus	4.41
bleu	bleue	4.27
bleu	bleues	3.79
bleu	bleux	2.04
bleue	bleues	3.79
bleues	bleue	4.27
bleus	bleu	4.75
bloc	blocs	4.00
blocs	bloc	4.49
blogue	blogues	2.49
blogue	bloguer	2.33
blogues	blogue	3.34
bloquant	bloquants	2.25
bloque	bloqué	4.20
bloque	bloquer	4.18
bloque	bloquent	3.37
bloque	bloquant	3.26
bloque	bloques	2.77
bloque	bloquez	2.76
bloque	bloquait	2.74
bloque	bloqua	2.04
bloquer	bloqué	4.20
bloquer	bloque	3.93
bloquer	bloqués	3.71
bloquer	bloquée	3.67
bloquer	bloquent	3.37
bloquer	bloquant	3.26
bloquer	bloquées	3.22
bloquer	bloques	2.77
bloquer	bloquez	2.76
bloquer	bloquait	2.74
bloquer	bloquaient	2.49
bloquer	bloquera	2.32
bloques	bloque	3.93
bloqué	bloqués	3.71
bloqué	bloquée	3.67
bloqué	bloquées	3.22
blouse	blouses	2.77
blouse	blouser	1.24
blouse	blousé	0.00
blouse	blousent	0.00
blouser	blouse	3.41
blouser	blouses	2.77
blouser	blousons	2.55
blouser	blousés	0.00
blouser	blousée	0.00
blouser	blousé	0.00
blouser	blousent	0.00
blouses	blouse	3.41
blousé	blousés	0.00
blousé	blousée	0.00
bls	bl	3.12
blue	blues	4.00
blues	blue	4.11
bluff	bluffé	2.83
bluff	bluffant	2.72
bluff	bluffer	2.44
bluff	bluffe	2.29
bluff	bluffée	2.26
bluff	bluffés	1.90
bluff	bluffs	1.90
bluff	bluffait	1.53
bluff	bluffent	1.48
bluff	bluffes	1.43
bluff	bluffez	1.01
bluff	bluffées	0.00
bluffe	bluffé	2.83
bluffe	bluffant	2.72
bluffe	bluffer	2.44
bluffe	bluffait	1.53
bluffe	bluffent	1.48
bluffe	bluffes	1.43
bluffe	bluffez	1.01
bluffes	bluffe	2.29
bluffs	bluff	3.38
blum	blume	2.21
blâme	blâmer	3.62
blâme	blâmé	2.87
blâme	blâment	2.48
blâme	blâmes	2.47
blâme	blâmant	2.23
blâme	blâmez	2.16
blâme	blâmait	2.02
blâmes	blâme	3.63
blé	blés	2.92
blés	blé	4.12
bms	bm	3.26
bns	bn	3.04
bob	boba	2.33
bob	bobs	2.12
bock	bocks	1.86
bocks	bock	2.96
bodie	bodies	2.40
bogie	bogies	2.20
bogies	bogie	2.22
bol	bols	3.05
bol	bola	2.53
bol	bole	2.03
bol	bolas	1.89
bol	bolée	1.59
bol	bolées	0.00
bole	bola	2.53
bolide	bolides	2.86
bols	bol	4.19
bonde	bondé	3.16
bonde	bondes	1.55
bonde	bonder	1.35
bondes	bonde	2.50
bondi	bondis	2.05
bondis	bondi	2.94
bone	bones	3.16
bone	bona	2.76
bone	boner	2.04
bones	bone	3.08
boni	bonis	2.63
bonis	boni	2.97
bonne	bonnes	4.93
bonne	bonner	2.37
bonnes	bonne	5.67
