word	variant	zipf
boobed	boobs	3.90
boobed	boob	3.41
boobed	boobing	0.00
boobies	booby	2.98
boobing	boobs	3.90
boobing	boob	3.41
boobing	boobed	1.97
boobs	boob	3.41
boobs	boobed	1.97
boobs	boobing	0.00
booby	boobies	2.99
booed	boo	3.92
booed	booing	3.13
booed	boos	3.03
booing	boo	3.92
booing	booed	3.09
booing	boos	3.03
book	books	5.15
book	booked	4.05
book	booking	3.86
books	book	5.43
books	booked	4.05
books	booking	3.86
boom	booming	3.43
boom	booms	3.00
boom	boomed	2.76
boomed	boom	4.33
boomed	booming	3.43
boomed	booms	3.00
booming	boom	4.33
booming	booms	3.00
booming	boomed	2.76
booms	boom	4.33
booms	booming	3.43
booms	boomed	2.76
boos	boo	3.92
boos	booing	3.13
boos	booed	3.09
bootee	bootees	1.24
bootie	booties	2.80
bootleg	bootlegs	2.33
bootleg	bootlegging	2.24
bootleg	bootlegged	1.95
bootlegging	bootleg	3.07
bootlegging	bootlegs	2.33
bootlegging	bootlegged	1.95
bootlegs	bootleg	3.07
bootlegs	bootlegging	2.24
bootlegs	bootlegged	1.95
boots	boot	4.19
boots	booted	3.20
boots	booting	2.88
booze	boozing	2.34
booze	boozed	1.80
booze	boozes	1.02
boozed	booze	3.65
boozed	boozing	2.34
boozed	boozes	1.02
boozes	booze	3.65
boozes	boozing	2.34
boozes	boozed	1.80
boozing	booze	3.65
boozing	boozed	1.80
boozing	boozes	1.02
border	borders	4.26
border	bordering	3.39
border	bordered	3.16
borders	border	4.70
borders	bordering	3.39
borders	bordered	3.16
bore	born	5.09
bore	bear	4.71
bore	boring	4.43
bore	bears	4.34
bore	bearing	4.22
bore	bored	4.20
bore	borne	3.67
bore	bores	2.84
bored	boring	4.43
bored	bore	3.93
bored	bores	2.84
borer	borers	1.87
borers	borer	2.53
bores	boring	4.43
bores	bored	4.20
bores	bore	3.93
boring	bored	4.20
boring	bore	3.93
boring	bores	2.84
born	bear	4.71
born	bears	4.34
born	bearing	4.22
born	bore	3.93
born	borne	3.67
borne	born	5.09
borne	bear	4.71
borne	bears	4.34
borne	bearing	4.22
borne	bore	3.93
borough	boroughs	3.22
boroughs	borough	3.83
boss	bosses	3.90
boss	bossing	2.56
boss	bossed	2.33
bossed	boss	4.76
bossed	bosses	3.90
bossed	bossing	2.56
bosses	boss	4.76
bosses	bossing	2.56
bosses	bossed	2.33
bossing	boss	4.76
bossing	bosses	3.90
bossing	bossed	2.33
bothered	bother	4.39
bothered	bothering	3.63
bothered	bothers	3.55
bottle	bottles	4.19
bottle	bottled	3.49
bottle	bottling	3.16
bottom	bottoms	3.53
bottom	bottomed	2.89
bottom	bottoming	2.39
bought	buy	5.32
bought	buying	4.75
bought	buys	3.93
bound	binding	4.14
bound	bind	3.75
bound	bounds	3.68
bound	bounded	3.50
bound	binds	3.38
bound	bounding	2.73
bounties	bounty	3.74
bounty	bounties	2.82
bouquet	bouquets	2.87
bourgeoisie	bourgeoisies	0.00
bout	bouts	3.21
